Время (миллисекунды);элементы
394,05118;1001
399,686616;1001
101,116903;1001
41,572061;1001
27,878912;1001
25,990002;1001
26,02456;1001
25,404652;1001
24,38381;1001
24,845402;1001
25,60274;1001
25,164788;1001
25,772698;1001
25,09012;1001
25,689164;1001
25,608773;1001
25,186715;1001
26,613763;1001
25,517253;1001
25,219151;1001
25,82185;1001
26,19847;1001
24,780434;1001
25,247427;1001
26,136225;1001
25,577025;1001
25,645885;1001
25,976877;1001
25,780375;1001
25,456695;1001
25,468319;1001
25,669924;1001
25,898365;1001
25,029293;1001
26,528099;1001
26,45776;1001
25,544092;1001
25,930938;1001
25,428508;1001
23,828422;1001
25,422944;1001
25,660309;1001
26,093442;1001
26,133608;1001
26,769482;1001
25,664296;1001
26,242159;1001
26,144792;1001
25,775158;1001
26,298672;1001
25,998434;1001
25,963647;1001
26,000949;1001
26,33945;1001
25,71651;1001
25,535002;1001
25,5883;1001
25,09098;1001
24,863856;1001
24,852671;1001
25,841814;1001
25,803403;1001
25,112661;1001
25,874372;1001
25,894994;1001
25,956159;1001
25,351312;1001
26,337322;1001
23,665624;1001
25,082405;1001
26,286601;1001
25,94818;1001
25,241256;1001
24,947911;1001
24,710682;1001
25,221096;1001
26,089679;1001
25,946456;1001
26,103051;1001
25,17965;1001
25,65511;1001
25,128522;1001
25,475024;1001
25,390565;1001
25,455253;1001
24,887871;1001
25,823894;1001
25,436919;1001
25,365164;1001
25,458033;1001
25,712427;1001
24,589665;1001
25,161733;1001
25,942687;1001
25,105437;1001
24,878047;1001
25,350609;1001
25,050222;1001
25,229064;1001
25,513033;1001
25,927167;1001
24,986973;1001
26,709375;1001
25,495095;1001
25,573979;1001
25,566816;1001
25,358043;1001
26,162669;1001
25,809974;1001
26,084115;1001
25,611423;1001
25,952425;1001
25,017385;1001
25,784717;1001
26,139063;1001
25,388113;1001
24,128563;1001
25,707213;1001
25,576463;1001
25,029073;1001
25,765035;1001
26,186267;1001
25,155733;1001
25,737967;1001
27,479553;1001
26,747651;1001
25,85067;1001
26,260494;1001
26,499539;1001
26,244488;1001
25,976178;1001
25,343416;1001
26,018823;1001
25,977905;1001
25,895581;1001
25,905856;1001
26,000711;1001
25,817282;1001
25,071976;1001
25,640235;1001
25,448487;1001
26,250397;1001
25,040059;1001
24,095592;1001
24,735458;1001
26,675212;1001
26,583082;1001
25,264156;1001
25,851171;1001
25,106994;1001
25,691759;1001
26,299652;1001
26,21345;1001
24,58811;1001
24,085942;1001
27,159508;1001
25,799382;1001
24,783176;1001
25,930395;1001
26,360119;1001
25,291824;1001
25,452225;1001
24,576725;1001
25,712585;1001
25,327557;1001
25,516831;1001
25,241946;1001
25,855789;1001
26,491138;1001
25,556468;1001
25,201354;1001
24,578871;1001
24,988534;1001
25,481167;1001
24,721153;1001
26,115651;1001
25,55077;1001
25,156634;1001
24,938687;1001
25,872277;1001
25,904535;1001
25,869787;1001
26,098217;1001
25,559903;1001
24,867481;1001
25,652836;1001
26,172667;1001
25,625933;1001
26,611407;1001
26,412981;1001
26,128636;1001
25,182347;1001
25,545849;1001
24,99591;1001
25,016802;1001
24,8407;1001
25,6337;1001
25,95476;1001
25,104952;1001
25,12323;1001
25,742906;1001
24,739321;1001
25,472964;1001
26,176893;1001
26,159019;1001
25,737284;1001
25,473657;1001
25,742791;1001
26,490598;1001
26,40448;1001
25,990136;1001
25,493587;1001
25,232397;1001
24,323119;1001
25,354404;1001
25,679281;1001
26,030176;1001
25,074675;1001
25,286195;1001
25,784759;1001
25,448312;1001
25,261642;1001
25,148648;1001
25,57209;1001
26,173098;1001
26,7502;1001
26,0797;1001
25,95832;1001
25,495764;1001
26,009693;1001
25,591259;1001
26,030412;1001
26,727582;1001
25,940316;1001
25,223783;1001
25,724997;1001
25,519839;1001
24,466708;1001
24,160922;1001
25,499924;1001
25,988705;1001
26,221981;1001
25,685576;1001
25,564235;1001
24,811967;1001
25,030453;1001
26,522651;1001
25,80265;1001
26,25543;1001
27,441266;1001
27,339253;1001
25,937451;1001
24,68499;1001
24,528618;1001
25,193284;1001
26,109437;1001
25,689127;1001
25,592225;1001
24,988905;1001
25,595221;1001
26,582204;1001
25,426781;1001
25,648536;1001
25,072727;1001
25,149025;1001
25,467145;1001
25,669469;1001
24,024094;1001
24,621419;1001
25,298764;1001
24,987093;1001
24,869839;1001
25,338188;1001
25,060818;1001
24,634644;1001
25,632589;1001
23,906558;1001
25,662472;1001
26,328594;1001
26,167859;1001
26,195292;1001
25,451418;1001
25,195964;1001
26,299273;1001
26,104995;1001
25,232879;1001
24,449716;1001
25,507683;1001
24,644977;1001
24,265595;1001
24,479099;1001
25,9634;1001
25,8306;1001
25,59058;1001
25,201816;1001
25,455803;1001
25,023761;1001
26,495732;1001
25,909246;1001
26,228249;1001
26,62757;1001
25,724354;1001
25,720771;1001
24,905994;1001
24,782199;1001
25,77716;1001
26,405512;1001
26,278842;1001
25,552748;1001
25,78893;1001
25,977886;1001
25,522837;1001
25,003307;1001
24,282001;1001
25,0314;1001
25,14096;1001
25,334752;1001
24,75353;1001
25,533946;1001
25,183349;1001
25,87761;1001
25,551822;1001
25,211524;1001
25,621085;1001
26,176117;1001
25,807163;1001
24,401693;1001
25,190259;1001
25,412812;1001
24,283382;1001
25,852436;1001
25,408487;1001
24,681837;1001
25,104547;1001
26,260629;1001
25,817206;1001
24,569221;1001
25,646384;1001
24,643157;1001
24,093711;1001
24,642502;1001
24,91168;1001
25,099876;1001
24,374935;1001
25,844547;1001
25,287709;1001
25,540782;1001
25,229056;1001
24,977951;1001
25,67189;1001
25,289338;1001
24,679588;1001
25,176938;1001
24,913468;1001
25,434614;1001
25,276783;1001
25,124177;1001
25,422635;1001
24,990507;1001
25,452901;1001
25,11836;1001
25,843012;1001
24,933002;1001
25,50314;1001
25,873588;1001
25,610358;1001
24,859732;1001
25,434466;1001
25,477433;1001
25,816627;1001
25,157025;1001
24,882685;1001
24,980437;1001
25,520227;1001
25,719125;1001
24,279525;1001
25,557825;1001
25,840525;1001
25,535785;1001
25,323057;1001
25,928751;1001
26,39331;1001
25,640222;1001
25,131864;1001
24,695993;1001
25,202859;1001
25,812792;1001
26,195718;1001
24,943044;1001
24,813429;1001
25,580586;1001
26,139257;1001
25,454111;1001
24,871742;1001
25,712568;1001
25,543634;1001
25,453267;1001
24,765293;1001
25,514939;1001
25,267768;1001
25,119514;1001
25,052963;1001
25,014913;1001
26,023063;1001
25,388173;1001
26,061935;1001
25,035467;1001
25,097513;1001
25,036163;1001
25,542353;1001
25,852571;1001
25,301194;1001
25,038799;1001
24,61408;1001
25,179476;1001
25,193155;1001
25,701311;1001
25,894902;1001
26,26624;1001
26,624348;1001
25,15049;1001
24,838638;1001
25,698608;1001
25,899042;1001
25,652548;1001
26,41425;1001
25,97177;1001
24,979014;1001
25,135123;1001
25,230685;1001
25,485817;1001
26,403763;1001
25,755773;1001
25,586715;1001
25,288663;1001
24,864853;1001
25,491211;1001
25,978342;1001
26,431808;1001
24,366082;1001
24,974676;1001
25,846415;1001
25,337023;1001
25,563685;1001
25,423477;1001
25,266375;1001
25,675935;1001
25,903867;1001
26,387893;1001
25,453579;1001
24,614796;1001
26,461259;1001
25,364472;1001
25,734374;1001
26,653075;1001
25,618275;1001
25,019155;1001
25,065411;1001
24,342742;1001
24,520588;1001
24,750538;1001
25,528308;1001
24,768522;1001
25,672464;1001
25,385793;1001
23,685219;1001
25,921744;1001
25,088109;1001
23,672922;1001
24,600384;1001
24,459857;1001
25,415511;1001
25,920322;1001
25,758304;1001
25,281601;1001
25,0466;1001
25,31276;1001
25,690692;1001
25,097798;1001
24,5326;1001
25,21244;1001
25,756008;1001
25,594362;1001
25,946552;1001
25,99319;1001
25,651818;1001
25,877684;1001
25,590317;1001
25,864523;1001
25,544585;1001
24,685897;1001
25,389079;1001
26,068916;1001
25,235023;1001
24,544905;1001
25,955861;1001
25,956912;1001
25,710402;1001
25,49782;1001
25,739244;1001
25,970029;1001
25,671686;1001
24,630457;1001
25,181691;1001
25,058998;1001
26,12218;1001
25,506736;1001
25,003267;1001
25,092273;1001
24,227495;1001
25,224219;1001
25,172544;1001
24,624389;1001
26,124618;1001
24,805724;1001
25,067225;1001
25,438785;1001
25,999017;1001
24,765403;1001
25,127741;1001
24,587928;1001
24,852426;1001
25,638185;1001
25,746977;1001
24,744755;1001
25,396991;1001
25,810938;1001
25,194288;1001
24,547358;1001
24,759652;1001
25,05129;1001
25,433818;1001
25,405584;1001
25,567777;1001
25,930235;1001
24,910167;1001
24,870253;1001
25,845671;1001
25,901774;1001
25,679955;1001
26,330691;1001
26,050038;1001
25,906928;1001
26,192886;1001
25,976937;1001
25,735627;1001
25,476765;1001
24,849013;1001
25,963003;1001
25,656781;1001
25,940396;1001
26,097539;1001
25,343548;1001
25,61073;1001
25,664246;1001
24,884009;1001
25,423062;1001
25,019812;1001
25,187902;1001
25,12902;1001
25,470964;1001
25,545013;1001
24,567203;1001
25,363721;1001
24,862104;1001
24,714381;1001
25,415556;1001
25,381751;1001
26,03963;1001
26,388726;1001
25,740385;1001
25,443517;1001
25,454243;1001
25,751789;1001
26,003218;1001
25,383624;1001
25,268325;1001
25,515905;1001
25,514181;1001
25,533036;1001
25,657267;1001
25,269933;1001
25,306947;1001
24,839769;1001
24,904474;1001
25,742995;1001
25,297119;1001
25,791424;1001
25,857125;1001
25,679205;1001
25,844181;1001
26,655996;1001
24,899619;1001
25,209524;1001
26,140825;1001
25,083325;1001
25,647165;1001
24,759273;1001
25,494375;1001
25,073355;1001
25,370151;1001
25,64931;1001
25,645882;1001
24,661916;1001
24,201123;1001
24,935925;1001
25,709665;1001
25,530113;1001
25,320023;1001
25,041305;1001
25,775141;1001
25,643008;1001
25,796382;1001
25,069556;1001
25,303091;1001
25,011098;1001
25,00752;1001
26,498904;1001
25,445481;1001
24,911676;1001
24,756015;1001
24,808883;1001
25,918437;1001
25,519407;1001
24,354101;1001
24,11084;1001
25,427788;1001
25,621418;1001
24,226364;1001
27,329273;1001
28,405595;1001
26,038319;1001
25,448984;1001
25,409077;1001
25,210655;1001
25,970011;1001
26,654482;1001
25,955596;1001
24,868939;1001
25,923808;1001
25,357622;1001
25,983024;1001
25,016245;1001
26,142809;1001
25,342262;1001
26,105792;1001
25,448618;1001
25,502424;1001
25,591305;1001
24,333021;1001
25,250844;1001
24,970069;1001
26,146434;1001
26,160727;1001
25,534465;1001
25,241453;1001
25,818351;1001
25,67433;1001
26,157486;1001
25,396677;1001
25,294695;1001
25,750439;1001
26,172548;1001
25,88265;1001
25,52323;1001
26,523906;1001
26,192901;1001
25,3219;1001
24,2622;1001
25,60972;1001
25,907904;1001
26,019641;1001
25,490248;1001
26,43129;1001
25,645158;1001
25,602532;1001
26,275366;1001
25,816473;1001
25,562515;1001
25,400263;1001
25,491833;1001
26,085067;1001
25,283953;1001
25,586751;1001
24,52953;1001
25,092086;1001
26,102137;1001
25,557747;1001
24,828409;1001
25,688362;1001
25,295812;1001
25,566862;1001
25,349372;1001
25,703574;1001
26,269995;1001
25,899279;1001
26,209716;1001
25,988283;1001
25,869977;1001
25,547375;1001
25,238615;1001
25,800603;1001
26,539181;1001
26,201596;1001
25,329359;1001
25,123972;1001
24,846874;1001
25,846615;1001
26,265243;1001
27,105629;1001
26,509786;1001
25,351037;1001
26,890067;1001
27,435273;1001
25,032455;1001
25,576051;1001
26,20371;1001
25,616402;1001
25,89426;1001
24,035032;1001
26,136926;1001
26,561345;1001
26,266989;1001
27,459858;1001
25,885992;1001
24,954958;1001
25,783232;1001
25,072366;1001
24,807833;1001
26,138827;1001
26,690885;1001
26,541617;1001
24,835823;1001
25,228345;1001
27,449009;1001
26,114902;1001
26,51778;1001
26,320136;1001
25,703867;1001
26,231353;1001
25,746031;1001
25,757206;1001
26,252801;1001
26,4051;1001
25,0454;1001
26,46466;1001
26,956732;1001
26,359946;1001
26,875789;1001
26,102278;1001
25,907816;1001
25,457243;1001
26,358609;1001
25,406542;1001
25,284108;1001
25,068622;1001
25,915644;1001
27,817229;1001
27,769106;1001
26,477101;1001
26,28608;1001
25,703056;1001
25,640851;1001
25,31979;1001
25,451758;1001
24,762772;1001
25,750714;1001
25,510463;1001
25,220193;1001
25,722459;1001
25,629692;1001
25,428918;1001
24,761844;1001
24,907109;1001
25,598982;1001
26,104556;1001
26,613351;1001
25,56497;1001
26,144054;1001
25,946331;1001
25,902766;1001
24,515853;1001
25,623131;1001
26,363866;1001
26,229193;1001
26,069159;1001
27,140312;1001
25,612362;1001
25,486852;1001
25,95337;1001
25,802414;1001
26,122503;1001
26,576961;1001
25,437872;1001
26,168774;1001
25,737995;1001
25,407179;1001
25,959256;1001
25,445491;1001
26,163278;1001
26,313736;1001
25,113747;1001
25,502889;1001
25,365838;1001
25,879728;1001
25,592386;1001
25,277117;1001
25,926823;1001
25,517205;1001
25,375661;1001
25,158212;1001
24,902282;1001
25,386376;1001
25,655035;1001
26,117667;1001
25,696093;1001
26,115999;1001
24,93792;1001
25,847604;1001
26,035581;1001
26,061096;1001
26,456939;1001
26,604768;1001
26,193414;1001
25,471063;1001
25,558673;1001
25,340735;1001
24,157507;1001
25,905481;1001
25,245636;1001
25,466607;1001
26,738961;1001
25,971432;1001
25,535066;1001
25,822033;1001
25,923367;1001
26,649013;1001
26,250143;1001
25,905609;1001
26,317922;1001
26,085924;1001
26,293005;1001
26,386741;1001
25,774868;1001
25,866074;1001
25,413275;1001
25,280415;1001
25,979103;1001
26,086941;1001
25,050808;1001
26,244342;1001
26,309508;1001
25,333122;1001
25,998684;1001
26,617997;1001
25,968599;1001
26,03794;1001
25,573648;1001
26,45025;1001
25,08681;1001
25,198142;1001
25,610468;1001
25,661874;1001
25,807395;1001
25,152859;1001
24,497452;1001
24,06979;1001
25,429018;1001
25,188384;1001
24,420337;1001
25,400387;1001
25,289117;1001
25,270003;1001
24,854141;1001
25,078068;1001
25,273254;1001
26,036851;1001
26,39121;1001
25,049602;1001
25,58184;1001
24,737948;1001
25,17373;1001
24,323346;1001
32,160529;1001
27,179686;1001
25,677257;1001
25,561791;1001
25,587318;1001
25,893464;1001
26,083693;1001
26,023679;1001
25,806056;1001
25,274011;1001
26,119762;1001
25,843952;1001
26,69447;1001
25,807314;1001
24,671723;1001
25,153745;1001
25,860569;1001
25,985434;1001
25,977047;1001
25,460689;1001
25,840498;1001
26,1697;1001
26,20576;1001
24,430012;1001
26,150302;1001
26,16976;1001
25,601612;1001
25,378182;1001
25,332816;1001
25,150843;1001
25,889189;1001
25,836258;1001
26,298432;1001
26,049246;1001
26,368849;1001
25,08857;1001
25,709234;1001
25,354167;1001
25,318293;1001
26,426579;1001
26,128616;1001
24,605903;1001
25,775641;1001
26,129328;1001
25,829946;1001
25,127329;1001
26,122426;1001
25,427785;1001
25,844537;1001
25,400087;1001
25,487777;1001
25,544475;1001
25,952355;1001
25,378991;1001
26,356918;1001
25,603164;1001
25,466393;1001
24,321079;1001
24,280596;1001
25,988059;1001
24,834132;1001
25,005466;1001
25,946133;1001
26,438307;1001
25,111981;1001
25,313416;1001
25,754703;1001
26,175661;1001
25,866412;1001
25,786882;1001
23,791096;1001
24,257539;1001
24,203028;1001
25,695046;1001
26,129129;1001
24,780806;1001
26,528741;1001
25,559508;1001
24,841542;1001
25,308248;1001
26,21525;1001
25,71891;1001
25,105902;1001
24,53076;1001
25,189312;1001
25,770582;1001
26,350776;1001
25,041015;1001
25,568723;1001
25,519825;1001
25,711965;1001
24,546133;1001
25,195747;1001
25,425809;1001
26,200362;1001
24,508572;1001
24,998214;1001
25,234223;1001
24,912265;1001
25,844113;1001
26,158923;1001
24,862705;1001
26,428521;1001
25,092704;1001
25,231901;1001
26,48984;1001
25,403448;1001
25,19559;1001
25,624678;1001
25,968116;1001
26,030823;1001
25,105485;1001
25,614397;1001
25,891399;1001
26,1696;1001
24,77718;1001
25,447116;1001
